his_train_loss,his_train_acc,his_val_loss,his_val_acc
3.092736278631492e-06,1.0,5.070423867437057e-05,1.0
6.995757944827906e-27,1.0,1.8698232202010664e-35,1.0
4.382024194206111e-23,1.0,1.8698232202010664e-35,1.0
2.0712974814935385e-29,1.0,1.8698232202010664e-35,1.0
2.1963248386414475e-24,1.0,1.8698232202010664e-35,1.0
3.47263790133294e-21,1.0,1.8698232202010664e-35,1.0
4.575431460731965e-26,1.0,1.8698232202010664e-35,1.0
5.243639350858389e-18,1.0,1.8698232202010664e-35,1.0
2.875291860854268e-31,1.0,1.8698232202010664e-35,1.0
3.1766724358233964e-20,1.0,1.8698232202010664e-35,1.0
9.243581194921016e-25,1.0,1.8698232202010664e-35,1.0
4.421699480117659e-25,1.0,1.8698232202010664e-35,1.0
3.874067892287495e-30,1.0,1.8698232202010664e-35,1.0
5.155232376785426e-29,1.0,1.8698232202010664e-35,1.0
2.464641702092246e-30,1.0,1.8698232202010664e-35,1.0
6.627966780670763e-30,1.0,1.8698232202010664e-35,1.0
1.1620968741187637e-22,1.0,1.8698232202010664e-35,1.0
9.595745831751119e-30,1.0,1.8698232202010664e-35,1.0
6.535946176539738e-26,1.0,1.8698232202010664e-35,1.0
3.951869537549211e-31,1.0,1.8698232202010664e-35,1.0
6.759447399913062e-28,1.0,1.8698232202010664e-35,1.0
3.1825440744663e-26,1.0,1.8698232202010664e-35,1.0
1.2033656590588578e-22,1.0,1.8698232202010664e-35,1.0
4.917980661598087e-32,1.0,1.8698232202010664e-35,1.0
3.1789988102987203e-24,1.0,1.8698232202010664e-35,1.0
1.9147072059463478e-32,1.0,1.8698232202010664e-35,1.0
2.609921425068565e-31,1.0,1.8698232202010664e-35,1.0
5.1825217036969275e-36,1.0,1.8698232202010664e-35,1.0
2.1373786028971182e-32,1.0,1.8698232202010664e-35,1.0
1.8716557715374537e-30,1.0,1.8698232202010664e-35,1.0
8.758385978114615e-28,1.0,1.8698232202010664e-35,1.0
2.5838733476008958e-23,1.0,1.8698232202010664e-35,1.0
3.5511555168194784e-20,1.0,1.8698232202010664e-35,1.0
1.2406247312194278e-30,1.0,1.8698232202010664e-35,1.0
3.535402214595252e-29,1.0,1.8698232202010664e-35,1.0
2.0314413530443347e-34,1.0,1.8698232202010664e-35,1.0
2.4710523048985527e-25,1.0,1.8698232202010664e-35,1.0
4.306286911012529e-26,1.0,1.8698232202010664e-35,1.0
5.212031734186424e-27,1.0,1.8698232202010664e-35,1.0
5.694763726767649e-31,1.0,1.8698232202010664e-35,1.0
